generation,best,average
2530,9.8343,9.7879
2540,9.8344,9.7864
2550,9.8349,9.7903
2560,9.8352,9.7910
2570,9.8355,9.7900
2580,9.8357,9.7901
2590,9.8360,9.7913
2600,9.8362,9.7920
2610,9.8362,9.7883
2620,9.8364,9.7901
2630,9.8364,9.7890
2640,9.8365,9.7924
2650,9.8366,9.7923
2660,9.8367,9.7894
2670,9.8367,9.7908
2680,9.8368,9.7917
2690,9.8369,9.7918
2700,9.8371,9.7898
2710,9.8372,9.7897
2720,9.8372,9.7937
2730,9.8373,9.7925
2740,9.8375,9.7941
2750,9.8375,9.7916
2760,9.8375,9.7942
2770,9.8378,9.7943
2780,9.8379,9.7893
2790,9.8379,9.7906
2800,9.8381,9.7918
2810,9.8383,9.7925
2820,9.8384,9.7926
2830,9.8384,9.7914
2840,9.8385,9.7950
2850,9.8385,9.7899
2860,9.8385,9.7929
2870,9.8385,9.7948
2880,9.8387,9.7930
2890,9.8388,9.7943
2900,9.8388,9.7942
2910,9.8388,9.7960
2920,9.8390,9.7948
2930,9.8390,9.7934
2940,9.8392,9.7950
2950,9.8393,9.7911
2960,9.8396,9.7959
2970,9.8396,9.7946
2980,9.8396,9.7945
2990,9.8399,9.7919
2999,9.8400,9.7934
